;Bending stiffness;;Torsional stiffness;;Bend-Twist Coupling;;Shear center [%c];
y;Tailored;Reference;Tailored;Reference;Reference;Tailored;Reference;Tailored
0.153635117;5292.069632;5117.988395;7171.875;7390.625;0;184.4328018;-0.14;-0.140615385
0.422496571;4978.723404;4955.512573;6750;6875;0;176.191344;-0.127692308;-0.127846154
0.595336077;3736.943907;3818.181818;5437.5;5578.125;0;113.9225513;-0.125692308;-0.126
0.758573388;3249.516441;3295.938104;4843.75;4953.125;0;112.5489749;-0.122461538;-0.123076923
1.037037037;2785.299807;3063.829787;4656.25;4734.375;0;57.14806378;-0.117230769;-0.117538462
1.315500686;1926.499033;2251.450677;3906.25;3937.5;0;37.0022779;-0.112461538;-0.112769231
1.526748971;1276.595745;1473.887814;3203.125;3296.875;0;59.43735763;-0.108307692;-0.109076923
1.685185185;916.827853;1032.882012;2937.5;2937.5;0;25.09794989;-0.105076923;-0.106307692
1.838820302;812.3791103;928.4332689;2656.25;2656.25;0;38.83371298;-0.102153846;-0.102923077
1.992455418;638.2978723;557.0599613;2203.125;2296.875;0;69.96810934;-0.1;-0.100769231
2.150891632;568.6653772;510.6382979;1984.375;2046.875;0;80.04100228;-0.097076923;-0.097846154
2.386145405;324.9516441;580.270793;1500;1500;0;119.4168565;-0.094307692;-0.094923077
2.602194787;278.5299807;220.5029014;1171.875;1218.75;0;132.2369021;-0.090615385;-0.090769231
2.827846365;232.1083172;208.8974855;984.375;984.375;0;137.2733485;-0.086153846;-0.086153846
3.015089163;220.5029014;278.5299807;578.125;578.125;0;167.0341686;-0.082923077;-0.082923077
3.303155007;174.0812379;232.1083172;484.375;484.375;0;167.0341686;-0.077846154;-0.078153846
3.6;139.2649903;185.6866538;375;375;0;167.0341686;-0.072923077;-0.073230769
