# ------------------------------
# XFoil Interface for Python
# ------------------------------
# 
# Airfoil,naca0012
# Reynolds number,1300000.0
# Ncrit,9.0
# Mach,0.0
# n_node,250
# max_iter, 300
# ------------------------------
# alpha_deg, cl, cd, cm, cpmin, top_xtr, bot_xtr
-6.000000000000000000e+00 -6.750974059104919434e-01 9.093174710869789124e-03 6.743035919498652220e-05 -2.514351129531860352e+00 1.000000000000000000e+00 1.000000000000000000e+00
-5.750000000000000000e+00 -6.406579017639160156e-01 8.804405108094215393e-03 -1.472668838687241077e-03 -2.344989299774169922e+00 1.000000000000000000e+00 1.000000000000000000e+00
-5.500000000000000000e+00 -6.056336164474487305e-01 8.505061268806457520e-03 -3.148953896015882492e-03 -2.182481527328491211e+00 1.000000000000000000e+00 1.000000000000000000e+00
-5.250000000000000000e+00 -5.738968253135681152e-01 8.219922892749309540e-03 -4.060150589793920517e-03 -2.034117460250854492e+00 1.000000000000000000e+00 1.000000000000000000e+00
-5.000000000000000000e+00 -5.412163138389587402e-01 7.930530235171318054e-03 -5.177173297852277756e-03 -1.891124129295349121e+00 1.000000000000000000e+00 1.000000000000000000e+00
-4.750000000000000000e+00 -5.116943120956420898e-01 7.657446898519992828e-03 -5.557003896683454514e-03 -1.760150790214538574e+00 1.000000000000000000e+00 1.000000000000000000e+00
-4.500000000000000000e+00 -4.827195107936859131e-01 7.396331522613763809e-03 -5.789239890873432159e-03 -1.638387203216552734e+00 1.000000000000000000e+00 1.000000000000000000e+00
-4.250000000000000000e+00 -4.551851153373718262e-01 7.143965922296047211e-03 -5.674006883054971695e-03 -1.524298548698425293e+00 1.000000000000000000e+00 1.000000000000000000e+00
-4.000000000000000000e+00 -4.288009703159332275e-01 6.906660273671150208e-03 -5.281886085867881775e-03 -1.417574763298034668e+00 1.000000000000000000e+00 1.000000000000000000e+00
-3.750000000000000000e+00 -4.027445316314697266e-01 6.690033711493015289e-03 -4.800691734999418259e-03 -1.317955017089843750e+00 1.000000000000000000e+00 1.000000000000000000e+00
-3.500000000000000000e+00 -3.767422139644622803e-01 6.481700111180543900e-03 -4.304660018533468246e-03 -1.223456382751464844e+00 1.000000000000000000e+00 1.000000000000000000e+00
-3.250000000000000000e+00 -3.505674898624420166e-01 6.295015569776296616e-03 -3.834621980786323547e-03 -1.133885502815246582e+00 1.000000000000000000e+00 1.000000000000000000e+00
-3.000000000000000000e+00 -3.242740035057067871e-01 6.127011030912399292e-03 -3.382579656317830086e-03 -1.049469947814941406e+00 1.000000000000000000e+00 1.000000000000000000e+00
-2.750000000000000000e+00 -2.977143228054046631e-01 5.971317645162343979e-03 -2.997961360961198807e-03 -9.700245857238769531e-01 1.000000000000000000e+00 1.000000000000000000e+00
-2.500000000000000000e+00 -2.710855007171630859e-01 5.843968130648136139e-03 -2.613996155560016632e-03 -8.957217931747436523e-01 1.000000000000000000e+00 1.000000000000000000e+00
-2.250000000000000000e+00 -2.442685216665267944e-01 5.720239132642745972e-03 -2.285070251673460007e-03 -8.269191980361938477e-01 1.000000000000000000e+00 1.000000000000000000e+00
-1.750000000000000000e+00 -1.903673112392425537e-01 5.534015595912933350e-03 -1.677424763329327106e-03 -7.043939828872680664e-01 1.000000000000000000e+00 1.000000000000000000e+00
-1.500000000000000000e+00 -1.632794141769409180e-01 5.466460715979337692e-03 -1.404783688485622406e-03 -6.505349278450012207e-01 1.000000000000000000e+00 1.000000000000000000e+00
-1.250000000000000000e+00 -1.361909806728363037e-01 5.406488664448261261e-03 -1.139107393100857735e-03 -6.016171574592590332e-01 1.000000000000000000e+00 1.000000000000000000e+00
-1.000000000000000000e+00 -1.090160831809043884e-01 5.365820135921239853e-03 -8.917461964301764965e-04 -5.569110512733459473e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.500000000000000000e-01 -8.182214200496673584e-02 5.328163970261812210e-03 -6.547787925228476524e-04 -5.161952972412109375e-01 1.000000000000000000e+00 1.000000000000000000e+00
-5.000000000000000000e-01 -5.450945720076560974e-02 5.306515377014875412e-03 -4.415281873662024736e-04 -4.791147112846374512e-01 1.000000000000000000e+00 1.000000000000000000e+00
-2.500000000000000000e-01 -2.729869261384010315e-02 5.289871245622634888e-03 -2.122385776601731777e-04 -4.450681507587432861e-01 1.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 -7.481394392883089495e-10 5.286940839141607285e-03 1.536187704820335398e-10 -4.136777222156524658e-01 1.000000000000000000e+00 1.000000000000000000e+00
2.500000000000000000e-01 2.729879692196846008e-02 5.289870314300060272e-03 2.122145087923854589e-04 -4.450682401657104492e-01 1.000000000000000000e+00 1.000000000000000000e+00
