# ------------------------------
# XFoil Interface for Python
# ------------------------------
# 
# Airfoil,root
# Reynolds number,1300000.0
# Ncrit,9.0
# Mach,0.0
# n_node,250
# max_iter, 200
# ------------------------------
# alpha_deg, cl, cd, cm, cpmin, top_xtr, bot_xtr
-6.000000000000000000e+00 -2.309641838073730469e-01 1.422355417162179947e-02 -9.233082830905914307e-02 -5.061313629150390625e+00 1.000000000000000000e+00 1.000000000000000000e+00
-5.750000000000000000e+00 -2.048392593860626221e-01 1.257905364036560059e-02 -9.225745499134063721e-02 -4.898013114929199219e+00 1.000000000000000000e+00 1.000000000000000000e+00
-5.500000000000000000e+00 -1.786741316318511963e-01 1.118920277804136276e-02 -9.222327917814254761e-02 -4.679328441619873047e+00 1.000000000000000000e+00 1.000000000000000000e+00
-5.250000000000000000e+00 -1.513819694519042969e-01 1.065369695425033569e-02 -9.221950918436050415e-02 -4.406680583953857422e+00 1.000000000000000000e+00 1.000000000000000000e+00
-5.000000000000000000e+00 -1.238581985235214233e-01 1.019086316227912903e-02 -9.220903366804122925e-02 -4.141068458557128906e+00 1.000000000000000000e+00 1.000000000000000000e+00
-4.750000000000000000e+00 -9.621427208185195923e-02 9.735052473843097687e-03 -9.219897538423538208e-02 -3.888335466384887695e+00 1.000000000000000000e+00 1.000000000000000000e+00
-4.500000000000000000e+00 -6.842225790023803711e-02 9.308328852057456970e-03 -9.219916164875030518e-02 -3.643604755401611328e+00 1.000000000000000000e+00 1.000000000000000000e+00
-4.250000000000000000e+00 -4.034068807959556580e-02 9.049175307154655457e-03 -9.222187846899032593e-02 -3.383249759674072266e+00 1.000000000000000000e+00 1.000000000000000000e+00
-4.000000000000000000e+00 -1.250413991510868073e-02 8.414200507104396820e-03 -9.234235435724258423e-02 -3.165601253509521484e+00 1.000000000000000000e+00 1.000000000000000000e+00
-3.750000000000000000e+00 1.571626588702201843e-02 8.120625279843807220e-03 -9.245681762695312500e-02 -2.909322261810302734e+00 1.000000000000000000e+00 1.000000000000000000e+00
-3.500000000000000000e+00 4.407900199294090271e-02 7.889558561146259308e-03 -9.256156533956527710e-02 -2.659632682800292969e+00 1.000000000000000000e+00 1.000000000000000000e+00
-3.250000000000000000e+00 7.253774255514144897e-02 7.687650620937347412e-03 -9.266651421785354614e-02 -2.418073415756225586e+00 1.000000000000000000e+00 1.000000000000000000e+00
-3.000000000000000000e+00 1.010962575674057007e-01 7.391942664980888367e-03 -9.282665699720382690e-02 -2.192208766937255859e+00 1.000000000000000000e+00 1.000000000000000000e+00
-2.750000000000000000e+00 1.296206712722778320e-01 7.240444421768188477e-03 -9.296212345361709595e-02 -1.978869438171386719e+00 1.000000000000000000e+00 1.000000000000000000e+00
