# ------------------------------
# XFoil Interface for Python
# ------------------------------
# 
# Airfoil,tip
# Reynolds number,1300000.0
# Ncrit,9.0
# Mach,0.0
# n_node,250
# max_iter, 300
# ------------------------------
# alpha_deg, cl, cd, cm, cpmin, top_xtr, bot_xtr
-6.000000000000000000e+00 nan nan nan nan 6.999999880790710449e-01 1.999999955296516418e-02
-5.750000000000000000e+00 nan nan nan nan 6.999999880790710449e-01 1.999999955296516418e-02
-5.500000000000000000e+00 nan nan nan nan 6.999999880790710449e-01 1.999999955296516418e-02
-5.250000000000000000e+00 nan nan nan nan 6.999999880790710449e-01 1.999999955296516418e-02
-5.000000000000000000e+00 nan nan nan nan 6.999999880790710449e-01 1.999999955296516418e-02
-4.750000000000000000e+00 nan nan nan nan 6.999999880790710449e-01 1.999999955296516418e-02
-4.500000000000000000e+00 nan nan nan nan 6.999999880790710449e-01 1.999999955296516418e-02
-4.250000000000000000e+00 nan nan nan nan 6.999999880790710449e-01 1.999999955296516418e-02
-4.000000000000000000e+00 nan nan nan nan 6.999999880790710449e-01 1.999999955296516418e-02
-3.750000000000000000e+00 nan nan nan nan 6.999999880790710449e-01 1.999999955296516418e-02
-3.500000000000000000e+00 nan nan nan nan 6.999999880790710449e-01 1.999999955296516418e-02
-3.250000000000000000e+00 nan nan nan nan 6.999999880790710449e-01 1.999999955296516418e-02
-3.000000000000000000e+00 8.750526607036590576e-02 1.031422987580299377e-02 -9.091028571128845215e-02 -2.571578979492187500e+00 6.999999880790710449e-01 1.999999955296516418e-02
-2.750000000000000000e+00 1.167590394616127014e-01 8.945627138018608093e-03 -9.102536737918853760e-02 -2.602464437484741211e+00 6.999999880790710449e-01 1.999999955296516418e-02
-2.500000000000000000e+00 1.461084485054016113e-01 8.225926198065280914e-03 -9.129949659109115601e-02 -2.496544837951660156e+00 6.999999880790710449e-01 1.999999955296516418e-02
-2.250000000000000000e+00 1.754533499479293823e-01 7.817531935870647430e-03 -9.157919138669967651e-02 -2.334281206130981445e+00 6.999999880790710449e-01 1.999999955296516418e-02
-2.000000000000000000e+00 2.047152966260910034e-01 7.477996870875358582e-03 -9.192229807376861572e-02 -2.112790107727050781e+00 6.999999880790710449e-01 1.999999955296516418e-02
-1.750000000000000000e+00 2.339779138565063477e-01 7.218292448669672012e-03 -9.223029762506484985e-02 -1.877995967864990234e+00 6.999999880790710449e-01 1.999999955296516418e-02
-1.500000000000000000e+00 2.631369233131408691e-01 7.024774327874183655e-03 -9.251929074525833130e-02 -1.630411267280578613e+00 6.999999880790710449e-01 1.999999955296516418e-02
-1.250000000000000000e+00 2.923053801059722900e-01 6.853861734271049500e-03 -9.279977530241012573e-02 -1.386671423912048340e+00 6.999999880790710449e-01 1.999999955296516418e-02
-1.000000000000000000e+00 3.215154409408569336e-01 6.692213937640190125e-03 -9.307738393545150757e-02 -1.153058528900146484e+00 6.999999880790710449e-01 1.999999955296516418e-02
-7.500000000000000000e-01 3.506565988063812256e-01 6.583032198250293732e-03 -9.330436587333679199e-02 -9.299733638763427734e-01 6.999999880790710449e-01 1.999999955296516418e-02
-5.000000000000000000e-01 3.795425593852996826e-01 6.530298851430416107e-03 -9.352468699216842651e-02 -7.136234045028686523e-01 6.999999880790710449e-01 1.999999955296516418e-02
-2.500000000000000000e-01 4.083980619907379150e-01 6.485296413302421570e-03 -9.374701231718063354e-02 -5.320711135864257812e-01 6.999999880790710449e-01 1.999999955296516418e-02
0.000000000000000000e+00 4.372357130050659180e-01 6.445695646107196808e-03 -9.397061914205551147e-02 -5.295094251632690430e-01 6.999999880790710449e-01 1.999999955296516418e-02
2.500000000000000000e-01 4.660581946372985840e-01 6.410879082977771759e-03 -9.419528394937515259e-02 -5.531087517738342285e-01 6.999999880790710449e-01 1.999999955296516418e-02
5.000000000000000000e-01 4.948664009571075439e-01 6.380537524819374084e-03 -9.442105889320373535e-02 -5.824710726737976074e-01 6.999999880790710449e-01 1.999999955296516418e-02
7.500000000000000000e-01 5.230463147163391113e-01 6.406682077795267105e-03 -9.451483190059661865e-02 -6.201402544975280762e-01 6.999999880790710449e-01 1.999999955296516418e-02
1.000000000000000000e+00 5.508205294609069824e-01 6.470214575529098511e-03 -9.452689439058303833e-02 -6.622843742370605469e-01 6.999999880790710449e-01 1.999999955296516418e-02
1.250000000000000000e+00 5.783874392509460449e-01 6.559259258210659027e-03 -9.450828284025192261e-02 -7.090092301368713379e-01 6.999999880790710449e-01 1.999999955296516418e-02
