# ------------------------------
# XFoil Interface for Python
# ------------------------------
# 
# Airfoil,naca0012
# Reynolds number,1300000.0
# Ncrit,9.0
# Mach,0.0
# n_node,250
# max_iter, 300
# ------------------------------
# alpha_deg, cl, cd, cm, cpmin, top_xtr, bot_xtr
-1.000000000000000000e+01 -1.089968681335449219e+00 1.392663083970546722e-02 -3.785480745136737823e-03 -5.569458007812500000e+00 1.000000000000000000e+00 1.000000000000000000e+00
-9.900000000000000355e+00 -1.080927610397338867e+00 1.379954349249601364e-02 -3.426520386710762978e-03 -5.482675552368164062e+00 1.000000000000000000e+00 1.000000000000000000e+00
-9.800000000000000711e+00 -1.071825504302978516e+00 1.368418801575899124e-02 -3.067504148930311203e-03 -5.396253585815429688e+00 1.000000000000000000e+00 1.000000000000000000e+00
-9.699999999999999289e+00 -1.063474655151367188e+00 1.350415963679552078e-02 -2.592263743281364441e-03 -5.314691066741943359e+00 1.000000000000000000e+00 1.000000000000000000e+00
-9.599999999999999645e+00 -1.055155396461486816e+00 1.332855038344860077e-02 -2.109948080033063889e-03 -5.232925891876220703e+00 1.000000000000000000e+00 1.000000000000000000e+00
-9.500000000000000000e+00 -1.046563625335693359e+00 1.318415254354476929e-02 -1.662341528572142124e-03 -5.149910449981689453e+00 1.000000000000000000e+00 1.000000000000000000e+00
-9.400000000000000355e+00 -1.037840843200683594e+00 1.305545587092638016e-02 -1.228354405611753464e-03 -5.066843509674072266e+00 1.000000000000000000e+00 1.000000000000000000e+00
-9.300000000000000711e+00 -1.029006958007812500e+00 1.293824613094329834e-02 -8.064767462201416492e-04 -4.983935356140136719e+00 1.000000000000000000e+00 1.000000000000000000e+00
-9.199999999999999289e+00 -1.020090460777282715e+00 1.283210981637239456e-02 -3.916595887858420610e-04 -4.901245117187500000e+00 1.000000000000000000e+00 1.000000000000000000e+00
-9.099999999999999645e+00 -1.011671900749206543e+00 1.268305256962776184e-02 1.022083160933107138e-04 -4.821825504302978516e+00 1.000000000000000000e+00 1.000000000000000000e+00
-9.000000000000000000e+00 -1.003395795822143555e+00 1.252586394548416138e-02 6.166438106447458267e-04 -4.743874549865722656e+00 1.000000000000000000e+00 1.000000000000000000e+00
-8.900000000000000355e+00 -9.948626160621643066e-01 1.239825412631034851e-02 1.096187741495668888e-03 -4.667057991027832031e+00 1.000000000000000000e+00 1.000000000000000000e+00
-8.800000000000000711e+00 -9.862194657325744629e-01 1.228559669107198715e-02 1.565288519486784935e-03 -4.590378761291503906e+00 1.000000000000000000e+00 1.000000000000000000e+00
-8.699999999999999289e+00 -9.774914383888244629e-01 1.218548603355884552e-02 2.027888782322406769e-03 -4.514003276824951172e+00 1.000000000000000000e+00 1.000000000000000000e+00
-8.599999999999999645e+00 -9.689557552337646484e-01 1.207110378891229630e-02 2.525025280192494392e-03 -4.439285278320312500e+00 1.000000000000000000e+00 1.000000000000000000e+00
-8.500000000000000000e+00 -9.608638286590576172e-01 1.191880181431770325e-02 3.088758559897542000e-03 -4.366728305816650391e+00 1.000000000000000000e+00 1.000000000000000000e+00
-8.400000000000000355e+00 -9.524993896484375000e-01 1.179716270416975021e-02 3.612264990806579590e-03 -4.293027877807617188e+00 1.000000000000000000e+00 1.000000000000000000e+00
-8.300000000000000711e+00 -9.440214037895202637e-01 1.168993860483169556e-02 4.122315905988216400e-03 -4.219394207000732422e+00 1.000000000000000000e+00 1.000000000000000000e+00
-8.199999999999999289e+00 -9.354123473167419434e-01 1.159899495542049408e-02 4.616213496774435043e-03 -4.145752906799316406e+00 1.000000000000000000e+00 1.000000000000000000e+00
-8.099999999999999645e+00 -9.271147251129150391e-01 1.148000359535217285e-02 5.159581080079078674e-03 -4.074185848236083984e+00 1.000000000000000000e+00 1.000000000000000000e+00
-8.000000000000000000e+00 -9.189478754997253418e-01 1.135127153247594833e-02 5.718922242522239685e-03 -4.003177642822265625e+00 1.000000000000000000e+00 1.000000000000000000e+00
-7.900000000000000355e+00 -9.105790853500366211e-01 1.124486327171325684e-02 6.248363759368658066e-03 -3.931700706481933594e+00 1.000000000000000000e+00 1.000000000000000000e+00
