# ------------------------------
# XFoil Interface for Python
# ------------------------------
# 
# Airfoil,root
# Reynolds number,1300000.0
# Ncrit,9.0
# Mach,0.0
# n_node,250
# max_iter, 300
# ------------------------------
# alpha_deg, cl, cd, cm, cpmin, top_xtr, bot_xtr
-3.499999999999999822e+01 -6.010000071231842041e-01 1.940903253853321075e-02 -8.806002140045166016e-02 -5.033983230590820312e+00 6.999999880790710449e-01 1.999999955296516418e-02
-9.999999999999999822e+00 -6.010000071231842041e-01 1.940903253853321075e-02 -8.806002140045166016e-02 -5.033983230590820312e+00 6.999999880790710449e-01 1.999999955296516418e-02
-6.299999999999999822e+00 -2.771708071231842041e-01 1.940903253853321075e-02 -8.806002140045166016e-02 -5.033983230590820312e+00 6.999999880790710449e-01 1.999999955296516418e-02
-6.199999999999999289e+00 -2.547768354415893555e-01 2.930724993348121643e-02 -8.682843297719955444e-02 -3.795352458953857422e+00 6.999999880790710449e-01 1.999999955296516418e-02
-6.099999999999999645e+00 -2.574133872985839844e-01 1.607018336653709412e-02 -8.829344809055328369e-02 -5.165145397186279297e+00 6.999999880790710449e-01 1.999999955296516418e-02
-6.000000000000000000e+00 -2.466762959957122803e-01 1.530383434146642685e-02 -8.836437761783599854e-02 -5.115143299102783203e+00 6.999999880790710449e-01 1.999999955296516418e-02
-5.899999999999999467e+00 nan nan nan nan 6.999999880790710449e-01 1.999999955296516418e-02
-5.799999999999999822e+00 nan nan nan nan 6.999999880790710449e-01 1.999999955296516418e-02
-5.700000000000000178e+00 nan nan nan nan 6.999999880790710449e-01 1.999999955296516418e-02
-5.599999999999999645e+00 nan nan nan nan 6.999999880790710449e-01 1.999999955296516418e-02
-5.500000000000000000e+00 -1.926161944866180420e-01 1.206007879227399826e-02 -8.871789276599884033e-02 -4.748808860778808594e+00 6.999999880790710449e-01 1.999999955296516418e-02
-5.399999999999999467e+00 nan nan nan nan 6.999999880790710449e-01 1.999999955296516418e-02
-5.299999999999999822e+00 -1.702694743871688843e-01 1.153891440480947495e-02 -8.888324350118637085e-02 -4.525518894195556641e+00 6.999999880790710449e-01 1.999999955296516418e-02
-5.199999999999999289e+00 -1.590006500482559204e-01 1.133628841489553452e-02 -8.896370977163314819e-02 -4.413814067840576172e+00 6.999999880790710449e-01 1.999999955296516418e-02
-5.099999999999999645e+00 -1.477035433053970337e-01 1.114133186638355255e-02 -8.904151618480682373e-02 -4.303941726684570312e+00 6.999999880790710449e-01 1.999999955296516418e-02
-5.000000000000000000e+00 -1.363873034715652466e-01 1.094666123390197754e-02 -8.911682665348052979e-02 -4.196825027465820312e+00 6.999999880790710449e-01 1.999999955296516418e-02
-4.899999999999999467e+00 -1.250548362731933594e-01 1.075050607323646545e-02 -8.919024467468261719e-02 -4.092507839202880859e+00 6.999999880790710449e-01 1.999999955296516418e-02
-4.799999999999999822e+00 -1.137074381113052368e-01 1.055780146270990372e-02 -8.926433324813842773e-02 -3.989379882812500000e+00 6.999999880790710449e-01 1.999999955296516418e-02
